Continent,variable,value
Europe,# of Subscribers Q2 2021,"115,272"
Europe,# of Subscribers Q2 2021,"49,338"
Europe,# of Subscribers Q2 2021,"456,795"
Europe,# of Subscribers Q2 2021,"920,811"
Europe,# of Subscribers Q2 2021,"52,607"
Europe,# of Subscribers Q2 2021,"737,499"
Europe,# of Subscribers Q2 2021,"8,367,985"
Europe,# of Subscribers Q2 2021,"10,696,426"
Europe,# of Subscribers Q2 2021,"517,896"
Europe,# of Subscribers Q2 2021,"339,047"
Asia,# of Subscribers Q2 2021,"5,031,713"
Asia,# of Subscribers Q2 2021,"882,640"
Europe,# of Subscribers Q2 2021,"529,599"
Europe,# of Subscribers Q2 2021,"3,688,379"
Asia,# of Subscribers Q2 2021,"5,192,000"
Europe,# of Subscribers Q2 2021,"56,859"
Europe,# of Subscribers Q2 2021,"138,416"
Europe,# of Subscribers Q2 2021,"83,754"
Europe,# of Subscribers Q2 2021,"30,174"
North America,# of Subscribers Q2 2021,"8,346,371"
Europe,# of Subscribers Q2 2021,"2,757,700"
Oceania,# of Subscribers Q2 2021,"1,311,696"
Europe,# of Subscribers Q2 2021,"1,968,164"
Europe,# of Subscribers Q2 2021,"1,738,304"
Europe,# of Subscribers Q2 2021,"694,248"
Europe,# of Subscribers Q2 2021,"465,299"
Europe,# of Subscribers Q2 2021,"185,396"
Asia,# of Subscribers Q2 2021,"463,617"
Europe,# of Subscribers Q2 2021,"189,950"
Europe,# of Subscribers Q2 2021,"92,599"
Africa,# of Subscribers Q2 2021,"349,977"
Asia,# of Subscribers Q2 2021,"4,156,632"
Europe,# of Subscribers Q2 2021,"4,775,895"
Europe,# of Subscribers Q2 2021,"1,718,057"
Europe,# of Subscribers Q2 2021,"1,432,631"
Asia,# of Subscribers Q2 2021,"3,089,928"
Asia,# of Subscribers Q2 2021,"427,186"
Europe,# of Subscribers Q2 2021,"12,752,006"
North America,# of Subscribers Q2 2021,"67,278,433"
Asia,# of Subscribers Q2 2021,"328,155"
South America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),7.5
Oceania,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
South America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),7.5
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
North America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),14.54
South America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),7.5
South America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),7.5
North America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),7.5
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
North America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),7.5
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Oceania,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Africa,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
Europe,Average Monthly Revenue per Paying Membership - Q2 2021 ($),11.66
North America,Average Monthly Revenue per Paying Membership - Q2 2021 ($),14.54
Asia,Average Monthly Revenue per Paying Membership - Q2 2021 ($),9.74
South America,Q2 2021 Revenue $,"114,058,849"
Oceania,Q2 2021 Revenue $,"187,180,896"
Europe,Q2 2021 Revenue $,"32,531,987"
Europe,Q2 2021 Revenue $,"57,494,153"
South America,Q2 2021 Revenue $,"409,980,005"
Europe,Q2 2021 Revenue $,"6,019,375"
North America,Q2 2021 Revenue $,"290,952,526"
South America,Q2 2021 Revenue $,"21,290,445"
South America,Q2 2021 Revenue $,"61,455,382"
North America,Q2 2021 Revenue $,"6,699,984"
Europe,Q2 2021 Revenue $,"4,032,210"
Europe,Q2 2021 Revenue $,"1,725,835"
Europe,Q2 2021 Revenue $,"15,978,705"
Europe,Q2 2021 Revenue $,"32,209,971"
Europe,Q2 2021 Revenue $,"1,840,189"
Europe,Q2 2021 Revenue $,"25,797,723"
Europe,Q2 2021 Revenue $,"292,712,113"
Europe,Q2 2021 Revenue $,"374,160,994"
Europe,Q2 2021 Revenue $,"18,116,004"
Europe,Q2 2021 Revenue $,"11,859,853"
Asia,Q2 2021 Revenue $,"147,026,641"
Asia,Q2 2021 Revenue $,"25,790,741"
Europe,Q2 2021 Revenue $,"18,525,364"
Europe,Q2 2021 Revenue $,"129,019,484"
Asia,Q2 2021 Revenue $,"151,710,240"
Europe,Q2 2021 Revenue $,"1,988,919"
Europe,Q2 2021 Revenue $,"4,841,809"
Europe,Q2 2021 Revenue $,"2,929,710"
Europe,Q2 2021 Revenue $,"1,055,495"
North America,Q2 2021 Revenue $,"187,793,355"
Europe,Q2 2021 Revenue $,"96,464,346"
Oceania,Q2 2021 Revenue $,"38,327,772"
Europe,Q2 2021 Revenue $,"68,846,373"
Europe,Q2 2021 Revenue $,"60,805,862"
Europe,Q2 2021 Revenue $,"24,284,811"
Europe,Q2 2021 Revenue $,"16,276,166"
Europe,Q2 2021 Revenue $,"6,485,140"
Asia,Q2 2021 Revenue $,"13,546,875"
Europe,Q2 2021 Revenue $,"6,644,464"
Europe,Q2 2021 Revenue $,"3,239,097"
Africa,Q2 2021 Revenue $,"12,242,202"
Asia,Q2 2021 Revenue $,"121,456,791"
Europe,Q2 2021 Revenue $,"167,060,813"
Europe,Q2 2021 Revenue $,"60,097,638"
Europe,Q2 2021 Revenue $,"50,113,445"
Asia,Q2 2021 Revenue $,"108,085,669"
Asia,Q2 2021 Revenue $,"14,942,949"
Europe,Q2 2021 Revenue $,"446,065,167"
North America,Q2 2021 Revenue $,"2,934,685,232"
Asia,Q2 2021 Revenue $,"9,588,694"
South America,# of Subscribers Q3 2021,"5,154,101"
Oceania,# of Subscribers Q3 2021,"6,513,101"
Europe,# of Subscribers Q3 2021,"945,578"
Europe,# of Subscribers Q3 2021,"1,671,131"
South America,# of Subscribers Q3 2021,"18,526,213"
Europe,# of Subscribers Q3 2021,"174,960"
North America,# of Subscribers Q3 2021,"6,781,769"
South America,# of Subscribers Q3 2021,"962,075"
South America,# of Subscribers Q3 2021,"2,777,051"
North America,# of Subscribers Q3 2021,"302,759"
Europe,# of Subscribers Q3 2021,"117,201"
Europe,# of Subscribers Q3 2021,"50,163"
Europe,# of Subscribers Q3 2021,"464,439"
Europe,# of Subscribers Q3 2021,"936,218"
Europe,# of Subscribers Q3 2021,"53,487"
Europe,# of Subscribers Q3 2021,"749,839"
Europe,# of Subscribers Q3 2021,"8,507,998"
Europe,# of Subscribers Q3 2021,"10,875,399"
Europe,# of Subscribers Q3 2021,"526,561"
Europe,# of Subscribers Q3 2021,"344,720"
Asia,# of Subscribers Q3 2021,"5,115,903"
Asia,# of Subscribers Q3 2021,"897,408"
Europe,# of Subscribers Q3 2021,"538,460"
Europe,# of Subscribers Q3 2021,"3,750,093"
Asia,# of Subscribers Q3 2021,"5,278,873"
Europe,# of Subscribers Q3 2021,"57,810"
Europe,# of Subscribers Q3 2021,"140,732"
Europe,# of Subscribers Q3 2021,"85,155"
Europe,# of Subscribers Q3 2021,"30,679"
North America,# of Subscribers Q3 2021,"8,486,023"
Europe,# of Subscribers Q3 2021,"2,803,842"
Oceania,# of Subscribers Q3 2021,"1,333,644"
Europe,# of Subscribers Q3 2021,"2,001,095"
Europe,# of Subscribers Q3 2021,"1,767,389"
Europe,# of Subscribers Q3 2021,"705,865"
Europe,# of Subscribers Q3 2021,"473,085"
Europe,# of Subscribers Q3 2021,"188,498"
Asia,# of Subscribers Q3 2021,"471,374"
Europe,# of Subscribers Q3 2021,"193,129"
Europe,# of Subscribers Q3 2021,"94,148"
Africa,# of Subscribers Q3 2021,"355,833"
Asia,# of Subscribers Q3 2021,"4,226,181"
Europe,# of Subscribers Q3 2021,"4,855,805"
Europe,# of Subscribers Q3 2021,"1,746,804"
Europe,# of Subscribers Q3 2021,"1,456,602"
Asia,# of Subscribers Q3 2021,"3,141,628"
Asia,# of Subscribers Q3 2021,"434,333"
Europe,# of Subscribers Q3 2021,"12,965,372"
North America,# of Subscribers Q3 2021,"68,404,135"
Asia,# of Subscribers Q3 2021,"333,646"
South America,Q3 2021 Revenue $,"115,967,282"
Oceania,Q3 2021 Revenue $,"190,312,806"
Europe,Q3 2021 Revenue $,"33,076,312"
Europe,Q3 2021 Revenue $,"58,456,146"
South America,Q3 2021 Revenue $,"416,839,790"
Europe,Q3 2021 Revenue $,"6,120,091"
North America,Q3 2021 Revenue $,"295,820,743"
South America,Q3 2021 Revenue $,"21,646,677"
South America,Q3 2021 Revenue $,"62,483,654"
North America,Q3 2021 Revenue $,"6,812,088"
Europe,Q3 2021 Revenue $,"4,099,677"
Europe,Q3 2021 Revenue $,"1,754,712"
Europe,Q3 2021 Revenue $,"16,246,061"
Europe,Q3 2021 Revenue $,"32,748,909"
Europe,Q3 2021 Revenue $,"1,870,979"
Europe,Q3 2021 Revenue $,"26,229,371"
Europe,Q3 2021 Revenue $,"297,609,772"
Europe,Q3 2021 Revenue $,"380,421,456"
Europe,Q3 2021 Revenue $,"18,419,121"
Europe,Q3 2021 Revenue $,"12,058,292"
Asia,Q3 2021 Revenue $,"149,486,691"
Asia,Q3 2021 Revenue $,"26,222,271"
Europe,Q3 2021 Revenue $,"18,835,330"
Europe,Q3 2021 Revenue $,"131,178,238"
Asia,Q3 2021 Revenue $,"154,248,656"
Europe,Q3 2021 Revenue $,"2,022,198"
Europe,Q3 2021 Revenue $,"4,922,822"
Europe,Q3 2021 Revenue $,"2,978,730"
Europe,Q3 2021 Revenue $,"1,073,156"
North America,Q3 2021 Revenue $,"190,935,514"
Europe,Q3 2021 Revenue $,"98,078,387"
Oceania,Q3 2021 Revenue $,"38,969,072"
Europe,Q3 2021 Revenue $,"69,998,310"
Europe,Q3 2021 Revenue $,"61,823,266"
Europe,Q3 2021 Revenue $,"24,691,145"
Europe,Q3 2021 Revenue $,"16,548,499"
Europe,Q3 2021 Revenue $,"6,593,649"
Asia,Q3 2021 Revenue $,"13,773,541"
Europe,Q3 2021 Revenue $,"6,755,639"
Europe,Q3 2021 Revenue $,"3,293,294"
Africa,Q3 2021 Revenue $,"12,447,039"
Asia,Q3 2021 Revenue $,"123,489,006"
Europe,Q3 2021 Revenue $,"169,856,074"
Europe,Q3 2021 Revenue $,"61,103,192"
Europe,Q3 2021 Revenue $,"50,951,943"
Asia,Q3 2021 Revenue $,"109,894,158"
Asia,Q3 2021 Revenue $,"15,192,975"
Europe,Q3 2021 Revenue $,"453,528,729"
North America,Q3 2021 Revenue $,"2,983,788,385"
Asia,Q3 2021 Revenue $,"9,749,132"
South America,# of Subscribers Q4 2021,"5,240,340"
Oceania,# of Subscribers Q4 2021,"6,622,078"
Europe,# of Subscribers Q4 2021,"961,399"
Europe,# of Subscribers Q4 2021,"1,699,092"
South America,# of Subscribers Q4 2021,"18,836,193"
Europe,# of Subscribers Q4 2021,"177,887"
North America,# of Subscribers Q4 2021,"6,895,241"
South America,# of Subscribers Q4 2021,"978,172"
South America,# of Subscribers Q4 2021,"2,823,517"
North America,# of Subscribers Q4 2021,"307,825"
Europe,# of Subscribers Q4 2021,"119,162"
Europe,# of Subscribers Q4 2021,"51,003"
Europe,# of Subscribers Q4 2021,"472,210"
Europe,# of Subscribers Q4 2021,"951,883"
Europe,# of Subscribers Q4 2021,"54,382"
Europe,# of Subscribers Q4 2021,"762,385"
Europe,# of Subscribers Q4 2021,"8,650,354"
Europe,# of Subscribers Q4 2021,"11,057,366"
Europe,# of Subscribers Q4 2021,"535,372"
Europe,# of Subscribers Q4 2021,"350,487"
Asia,# of Subscribers Q4 2021,"5,201,502"
Asia,# of Subscribers Q4 2021,"912,424"
Europe,# of Subscribers Q4 2021,"547,469"
Europe,# of Subscribers Q4 2021,"3,812,839"
Asia,# of Subscribers Q4 2021,"5,367,199"
Europe,# of Subscribers Q4 2021,"58,777"
Europe,# of Subscribers Q4 2021,"143,087"
Europe,# of Subscribers Q4 2021,"86,580"
Europe,# of Subscribers Q4 2021,"31,192"
North America,# of Subscribers Q4 2021,"8,628,011"
Europe,# of Subscribers Q4 2021,"2,850,756"
Oceania,# of Subscribers Q4 2021,"1,355,958"
Europe,# of Subscribers Q4 2021,"2,034,578"
Europe,# of Subscribers Q4 2021,"1,796,961"
Europe,# of Subscribers Q4 2021,"717,675"
Europe,# of Subscribers Q4 2021,"481,000"
Europe,# of Subscribers Q4 2021,"191,652"
Asia,# of Subscribers Q4 2021,"479,261"
Europe,# of Subscribers Q4 2021,"196,360"
Europe,# of Subscribers Q4 2021,"95,723"
Africa,# of Subscribers Q4 2021,"361,787"
Asia,# of Subscribers Q4 2021,"4,296,893"
Europe,# of Subscribers Q4 2021,"4,937,053"
Europe,# of Subscribers Q4 2021,"1,776,031"
Europe,# of Subscribers Q4 2021,"1,480,974"
Asia,# of Subscribers Q4 2021,"3,194,194"
Asia,# of Subscribers Q4 2021,"441,600"
Europe,# of Subscribers Q4 2021,"13,182,309"
North America,# of Subscribers Q4 2021,"69,548,673"
Asia,# of Subscribers Q4 2021,"339,228"
South America,Q4 2021 Revenue $,"117,907,646"
Oceania,Q4 2021 Revenue $,"193,497,120"
Europe,Q4 2021 Revenue $,"33,629,745"
Europe,Q4 2021 Revenue $,"59,434,234"
South America,Q4 2021 Revenue $,"423,814,354"
Europe,Q4 2021 Revenue $,"6,222,493"
North America,Q4 2021 Revenue $,"300,770,416"
South America,Q4 2021 Revenue $,"22,008,869"
South America,Q4 2021 Revenue $,"63,529,130"
North America,Q4 2021 Revenue $,"6,926,068"
Europe,Q4 2021 Revenue $,"4,168,272"
Europe,Q4 2021 Revenue $,"1,784,071"
Europe,Q4 2021 Revenue $,"16,517,890"
Europe,Q4 2021 Revenue $,"33,296,863"
Europe,Q4 2021 Revenue $,"1,902,284"
Europe,Q4 2021 Revenue $,"26,668,240"
Europe,Q4 2021 Revenue $,"302,589,379"
Europe,Q4 2021 Revenue $,"386,786,668"
Europe,Q4 2021 Revenue $,"18,727,310"
Europe,Q4 2021 Revenue $,"12,260,051"
Asia,Q4 2021 Revenue $,"151,987,903"
Asia,Q4 2021 Revenue $,"26,661,023"
Europe,Q4 2021 Revenue $,"19,150,483"
Europe,Q4 2021 Revenue $,"133,373,113"
Asia,Q4 2021 Revenue $,"156,829,544"
Europe,Q4 2021 Revenue $,"2,056,033"
Europe,Q4 2021 Revenue $,"5,005,190"
Europe,Q4 2021 Revenue $,"3,028,570"
Europe,Q4 2021 Revenue $,"1,091,112"
North America,Q4 2021 Revenue $,"194,130,247"
Europe,Q4 2021 Revenue $,"99,719,435"
Oceania,Q4 2021 Revenue $,"39,621,102"
Europe,Q4 2021 Revenue $,"71,169,522"
Europe,Q4 2021 Revenue $,"62,857,693"
Europe,Q4 2021 Revenue $,"25,104,277"
Europe,Q4 2021 Revenue $,"16,825,388"
Europe,Q4 2021 Revenue $,"6,703,974"
Asia,Q4 2021 Revenue $,"14,004,000"
Europe,Q4 2021 Revenue $,"6,868,675"
Europe,Q4 2021 Revenue $,"3,348,397"
Africa,Q4 2021 Revenue $,"12,655,303"
Asia,Q4 2021 Revenue $,"125,555,224"
Europe,Q4 2021 Revenue $,"172,698,106"
Europe,Q4 2021 Revenue $,"62,125,571"
Europe,Q4 2021 Revenue $,"51,804,471"
Asia,Q4 2021 Revenue $,"111,732,907"
Asia,Q4 2021 Revenue $,"15,447,183"
Europe,Q4 2021 Revenue $,"461,117,172"
North America,Q4 2021 Revenue $,"3,033,713,132"
Asia,Q4 2021 Revenue $,"9,912,255"
